app_id,categories
1089830,Full controller support
1089830,Steam Cloud
1089830,Includes level editor
403070,Single-player
403070,Steam Achievements
403070,Steam Trading Cards
811440,Single-player
811440,Full controller support
491010,Single-player
491010,Steam Achievements
491010,Steam Trading Cards
491010,Partial Controller Support
491010,Steam Cloud
681290,Single-player
1233460,Single-player
1233460,Multi-player
1233460,PvP
1233460,Shared/Split Screen PvP
1233460,Shared/Split Screen
1233460,Full controller support
1233460,Remote Play Together
350530,Single-player
350530,Steam Achievements
350530,Partial Controller Support
1481840,Single-player
1481840,Multi-player
1481840,Co-op
1481840,Shared/Split Screen Co-op
1481840,Shared/Split Screen
1481840,Steam Achievements
1481840,Full controller support
1481840,Remote Play Together
1444890,Single-player
1217340,Single-player
1217340,Steam Achievements
872340,Single-player
872340,Steam Achievements
872340,Full controller support
523680,Single-player
523680,Steam Achievements
523680,Steam Trading Cards
523680,Partial Controller Support
439460,Single-player
1308880,Single-player
1308880,Steam Achievements
1308880,Full controller support
1308880,Steam Cloud
296650,Single-player
1549420,Single-player
418270,Single-player
418270,Steam Achievements
418270,Steam Trading Cards
418270,Steam Cloud
418270,Stats
418270,Steam Leaderboards
390220,Single-player
390220,Multi-player
390220,PvP
390220,Shared/Split Screen PvP
390220,Shared/Split Screen
390220,Steam Trading Cards
549860,Single-player
549860,Steam Achievements
549860,Steam Trading Cards
549860,Steam Cloud
612380,Single-player
1632640,Single-player
350480,Single-player
350480,Steam Achievements
350480,Includes level editor
220900,Single-player
220900,Steam Achievements
220900,Steam Trading Cards
220900,Steam Leaderboards
539090,Single-player
539090,Steam Leaderboards
908500,Single-player
908500,Steam Achievements
908500,Steam Leaderboards
809890,Single-player
809890,Steam Achievements
809890,Full controller support
809890,Steam Trading Cards
809890,Remote Play on TV
570770,Single-player
570770,Steam Achievements
570770,Steam Trading Cards
570770,Steam Cloud
448500,Single-player
448500,Steam Achievements
448500,Steam Trading Cards
448500,Partial Controller Support
854160,Single-player
854160,Steam Achievements
1359170,Single-player
1359170,Full controller support
897010,Single-player
1607870,Single-player
553260,Single-player
553260,Steam Achievements
453130,Single-player
453130,Multi-player
453130,PvP
453130,Online PvP
453130,Shared/Split Screen PvP
453130,Shared/Split Screen
453130,Cross-Platform Multiplayer
453130,Steam Achievements
